,Oscar_Best_Picture_won
4,No
37,Yes
38,No
43,Yes
50,No
65,No
70,No
77,No
106,No
122,No
139,No
150,No
179,Yes
180,No
191,No
225,Yes
236,No
240,No
276,No
284,No
292,No
302,No
317,No
333,No
366,No
367,Yes
373,No
396,No
423,Yes
429,Yes
431,No
452,No
470,No
473,No
474,No
480,No
494,No
496,No
507,No
527,No
530,No
534,No
547,No
549,Yes
551,No
574,No
575,No
594,No
596,No
630,No
636,No
638,No
642,Yes
655,No
661,No
670,No
671,No
675,No
682,No
688,Yes
690,No
695,No
697,No
702,Yes
703,No
709,No
716,No
719,No
730,No
732,No
733,No
737,No
760,No
778,No
786,No
795,No
834,No
841,No
870,No
880,No
885,No
886,No
903,No
904,No
915,Yes
917,No
923,No
926,No
935,No
942,No
945,No
946,No
966,Yes
969,No
981,No
983,No
994,No
997,No
998,No
1003,No
1005,No
1009,No
1020,Yes
1026,No
1042,Yes
1049,No
1057,No
1058,No
1061,No
1070,No
1087,No
1101,No
1108,No
1112,Yes
1114,No
1115,No
1117,No
1119,No
1142,No
1153,No
1161,No
1188,No
1190,No
1194,No
1198,No
1205,No
1222,No
1233,No
1234,No
1236,Yes
1237,No
1238,No
1240,No
1241,No
1248,No
1252,Yes
1254,No
1255,No
1263,No
1265,No
1266,No
1276,Yes
1284,Yes
1290,No
1293,No
1295,No
1305,No
1319,No
1340,No
1341,No
1343,No
