year,movie,certificate,duration,genre,rate,metascore,Oscar_nominated,release_date.year,release_date.month,release_date.day-of-week,Oscar_Best_Picture_won
2001,The Lord of the Rings: The Fellowship of the Ring,PG-13,178,Adventure|Drama|Fantasy,8.8,92,13,2001,12,3,No
2003,The Lord of the Rings: The Return of the King,PG-13,201,Adventure|Drama|Fantasy,8.9,94,11,2003,12,3,Yes
2002,The Lord of the Rings: The Two Towers,PG-13,179,Adventure|Drama|Fantasy,8.7,88,6,2002,12,3,No
2000,Gladiator,R,155,Action|Adventure|Drama,8.5,64,12,2000,5,5,Yes
2000,Traffic,R,147,Crime|Drama|Thriller,7.6,86,5,2001,1,5,No
2000,"Crouching Tiger, Hidden Dragon",PG-13,120,Action|Adventure|Fantasy,7.9,93,10,2001,1,5,No
2000,Erin Brockovich,R,131,Biography|Drama,7.3,73,5,2000,3,5,No
2001,Moulin Rouge!,PG-13,127,Drama|Musical|Romance,7.6,66,8,2001,6,5,No
2002,Gangs of New York,R,167,Crime|Drama,7.5,72,10,2002,12,5,No
2000,Chocolat,PG-13,121,Drama|Romance,7.3,64,5,2001,1,5,No
2001,In the Bedroom,R,130,Crime|Drama,7.5,86,5,2002,2,5,No
2002,The Pianist,R,150,Biography|Drama|War,8.5,85,7,2003,3,5,No
2001,A Beautiful Mind,PG-13,135,Biography|Drama,8.2,72,8,2002,1,5,Yes
2002,The Hours,PG-13,114,Drama|Romance,7.6,81,9,2003,2,5,No
2001,Gosford Park,R,133,Comedy|Drama|Mystery,7.3,90,7,2002,1,5,No
2002,Chicago,PG-13,113,Comedy|Crime|Musical,7.2,82,13,2003,1,5,Yes
2004,Finding Neverland,PG,166,Biography|Drama|Family,7.7,67,7,2004,12,5,No
2003,Master and Commander: The Far Side of the World,PG-13,138,Action|Adventure|Drama,7.4,81,10,2003,11,5,No
2003,Mystic River,R,138,Crime|Drama|Mystery,8,84,6,2003,10,3,No
2003,Seabiscuit,PG-13,150,Drama|History|Sport,7.3,72,7,2003,7,5,No
2003,Lost in Translation,R,101,Drama,7.8,89,4,2003,10,5,No
2004,The Aviator,PG-13,170,Biography|Drama,7.5,77,11,2004,12,6,No
2004,Ray,PG-13,152,Biography|Drama|Music,7.7,73,6,2004,10,5,No
2009,Inglourious Basterds,R,153,Adventure|Drama|War,8.3,69,8,2009,8,5,No
2004,Sideways,R,126,Comedy|Drama|Romance,7.5,94,5,2005,1,5,No
2004,Crash,R,112,Crime|Drama|Thriller,7.8,69,6,2005,5,5,Yes
2005,Capote,R,114,Biography|Crime|Drama,7.4,88,5,2006,2,5,No
2005,Brokeback Mountain,R,134,Drama|Romance,7.7,87,8,2006,1,5,No
2004,Million Dollar Baby,PG-13,132,Drama|Sport,8.1,86,7,2005,1,5,Yes
2006,The Departed,R,151,Crime|Drama|Thriller,8.5,85,5,2006,10,5,Yes
2005,Munich,R,164,Drama|Thriller,7.6,74,5,2006,1,5,No
2008,The Curious Case of Benjamin Button,PG-13,166,Drama|Fantasy|Romance,7.8,70,13,2008,12,4,No
2005,"Good Night, and Good Luck.",PG,93,Biography|Drama|History,7.5,80,6,2005,11,5,No
2010,Toy Story 3,G,103,Animation|Adventure|Comedy,8.3,92,5,2010,6,5,No
2006,The Queen,PG-13,103,Biography|Drama,7.3,91,6,2006,11,5,No
2012,Lincoln,PG-13,150,Biography|Drama|History,7.4,86,12,2012,11,5,No
2006,Little Miss Sunshine,R,101,Comedy|Drama,7.8,80,4,2006,8,5,No
2006,Babel,R,143,Drama,7.5,69,7,2006,11,5,No
2012,Life of Pi,PG,127,Adventure|Drama|Fantasy,7.9,79,11,2012,11,3,No
2007,Michael Clayton,R,119,Crime|Drama|Thriller,7.3,82,7,2007,10,5,No
2007,Juno,PG-13,96,Comedy|Drama,7.5,81,4,2007,12,2,No
2007,There Will Be Blood,R,158,Drama|History,8.1,92,8,2008,1,5,No
2011,Extremely Loud & Incredibly Close,PG-13,129,Adventure|Drama|Mystery,6.9,46,2,2012,1,5,No
2007,No Country for Old Men,R,122,Crime|Drama|Thriller,8.1,91,8,2007,11,3,Yes
2011,The Tree of Life,PG-13,139,Drama|Fantasy,6.8,85,3,2011,5,2,No
2006,Letters from Iwo Jima,R,141,Drama|History|War,7.9,91,4,2007,2,5,No
2009,Avatar,PG-13,162,Action|Adventure|Fantasy,7.9,83,9,2009,12,5,No
2007,Atonement,R,123,Drama|Mystery|Romance,7.8,85,7,2008,1,5,No
2013,Dallas Buyers Club,R,117,Biography|Drama,8,84,6,2013,11,5,No
2010,The Kids Are All Right,R,106,Comedy|Drama|Romance,7.1,86,4,2010,7,5,No
2008,Frost/Nixon,R,122,Biography|Drama,7.7,80,5,2009,1,5,No
2009,The Blind Side,PG-13,129,Biography|Drama|Sport,7.7,53,2,2009,11,5,No
